Slice,N,Answer-form adherence,Temporal adherence,Purpose alignment,Overall BI adherence
نسبة إلغاء العمليات,114,93.0,91.2,91.2,91.8
استخدام الموارد,100,89.0,94.0,90.0,91.0
معدل إشغال الأسرة,106,90.6,93.4,86.8,90.3
متوسط وقت انتظار الطوارئ,100,86.0,93.0,91.0,90.0
زمن إنجاز نتائج المختبر,102,92.2,94.1,82.4,89.5
نسبة عدم الحضور للمواعيد,86,89.5,95.3,82.6,89.1
عبء العمل على الطاقم,84,90.5,92.9,82.1,88.5
زمن إنجاز تقارير الأشعة,103,91.3,87.4,86.4,88.3
متوسط تأخر صرف الدواء,97,89.7,92.8,80.4,87.6
متوسط مدة الإقامة,108,85.2,90.7,86.1,87.3
